candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
zp_l468_l2_010,24,0,0.0,0.006828002097205476,0.007647122947662763,0.010998771404357899,0.011348885921847685,0.0001499860463806351,1.5,0.9967672413793102,0.0,0,0,0.006828002097205476
zp_l468_l2_015,24,0,0.0,0.006828012563908924,0.007647191699534282,0.01099873868621141,0.01134881304748303,0.00014998456783336912,1.5,0.9967672413793102,0.0,0,0,0.006828012563908924
zp_l468_h09,24,0,0.0,0.006625767282942934,0.007037523537739113,0.01066600104294812,0.011170097844521129,0.0001509099035277848,1.4791666666666667,0.9968121408045976,0.0005078704167417649,3,0,0.006625767282942934
l_s092625468_objw1,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_floor_n001,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_floor_n002,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_floor_n005,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_maxspy110,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_maxspy115,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_minspy075,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_minspy085,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_pen28,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
zp_l468_pen33,24,0,0.0,0.007059729458403224,0.010806412965043885,0.01766518350753284,0.011348728297165564,0.00010032556507044446,1.0,0.9978448275862069,0.0,24,0,0.007059729458403224
j_s0926254_objw1,24,0,0.0,0.007059729456527119,0.010806412686071442,0.01766518219807145,0.011348727458111699,0.00010032555768418369,1.0,0.9978448275862069,0.0,24,0,0.007059729456527119
zp_l468_l2_025,24,0,0.0,0.007059729250632024,0.010806391011912051,0.017665072018402134,0.01134866730487838,0.00010032495103271483,1.0,0.9978448275862069,0.0,24,0,0.007059729250632024
zp_l468_l2_030,24,0,0.0,0.00705972900239743,0.010806364784273173,0.017664938821279435,0.011348594436639714,0.00010032421743578064,1.0,0.9978448275862069,0.0,24,0,0.00705972900239743
zp_l468_ntb052,24,0,0.0,0.0050523078232507625,0.006756538477906346,0.009251068553040994,0.011649536961833832,5.165129551122396e-05,0.5,0.9989224137931035,0.0,24,0,0.0050523078232507625
zp_l468_h12,24,0,0.0,0.005106347734990013,0.0067632934668737515,0.00878003810849434,0.010966547632839168,5.228652095915785e-05,0.5208333333333334,0.9988775143678161,0.000430433382103676,24,0,0.005106347734990013
zp_l468_h11,24,0,0.0,0.007,0.007,0.008241118252848198,0.011337027408030775,5.045265443533304e-05,0.5,0.9989224137931035,0.0,24,0,0.007
zp_l468_scale022,24,0,0.0,0.006567100652083623,0.006945887581510453,0.002778890129269171,0.010790105319211124,0.00010026178262601602,1.0,0.9978448275862069,0.00017486635441004306,24,0,0.006567100652083623
zp_l468_ntb048,24,0,0.0,0.007,0.007,0.00015373310925604407,0.010458456939970702,3.995130538497123e-06,0.041666666666666664,0.9999102011494253,0.00030746621851208814,24,0,0.007
zp_l468_scale018,24,0,0.0,0.007,0.007,0.0,0.011145959564064426,0.0,0.0,1.0,0.0,24,0,0.007
zp_l468_maxspy100,24,24,1.0,,,,,,,,,0,8,
