candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
j_s0926258_objw1,32,0,0.0,0.006828024117450498,0.0076614219292706915,0.01098521648527806,0.011338869764708048,0.00014998291880625783,1.5,0.9967672413793103,0.0,0,0,0.006828024117450498
j_s0926256_objw1,32,0,0.0,0.0068280244901952605,0.00766142456743291,0.010985215428312045,0.011338867299061473,0.00014998287635821085,1.5,0.9967672413793103,0.0,0,0,0.0068280244901952605
l_s092625468_objw1,32,0,0.0,0.007059729458403224,0.011627051303365754,0.0176562857770845,0.011338865671736587,0.00010032556507044447,1.0,0.9978448275862069,0.0,32,0,0.007059729458403224
j_s0926254_objw1,32,0,0.0,0.007059729456527119,0.011627050963618137,0.017656284468287764,0.011338864833417561,0.00010032555768418369,1.0,0.9978448275862069,0.0,32,0,0.007059729456527119
j_s0926252_objw1,32,0,0.0,0.007059729451008512,0.011627049964357317,0.017656280618890963,0.011338862367771485,0.00010032553595988773,1.0,0.9978448275862069,0.0,32,0,0.007059729451008512
j_s0926250_objw1,32,0,0.0,0.0070597294454846525,0.011627048965094783,0.01765627676949011,0.011338859902125353,0.00010032551423559201,1.0,0.9978448275862069,0.0,32,0,0.0070597294454846525
j_s0926248_objw1,32,0,0.0,0.007059729439970779,0.011627047965836544,0.01765627292009614,0.011338857436479721,0.00010032549251129581,1.0,0.9978448275862069,0.0,32,0,0.007059729439970779
j_s0926246_objw1,32,0,0.0,0.007059729434449019,0.011627046966574899,0.017656269070696895,0.011338854970835754,0.00010032547078699986,1.0,0.9978448275862069,0.0,32,0,0.007059729434449019
j_s0926244_objw1,32,0,0.0,0.007059729428928907,0.011627045967316854,0.01765626522129815,0.011338852505188513,0.0001003254490627039,1.0,0.9978448275862069,0.0,32,0,0.007059729428928907
j_s0926242_objw1,32,0,0.0,0.007059729423407285,0.011627044968054289,0.017656261371899462,0.011338850039544102,0.00010032542733840819,1.0,0.9978448275862069,0.0,32,0,0.007059729423407285
h_s092624_objw1,32,0,0.0,0.007059729417887805,0.011627043968792055,0.017656257522501773,0.011338847573897581,0.00010032540561411199,1.0,0.9978448275862069,0.0,32,0,0.007059729417887805
h_s092622_objw1,32,0,0.0,0.007059729362688293,0.011627033976183837,0.01765621902852238,0.01133882291744498,0.0001003251883711524,1.0,0.9978448275862069,0.0,32,0,0.007059729362688293
h_s092621_objw1,32,0,0.0,0.007059729335088694,0.011627028979881182,0.0176561997815336,0.011338810589214765,0.00010032507974967285,1.0,0.9978448275862069,0.0,32,0,0.007059729335088694
q_s09231_h10_ntb050,32,0,0.0,0.007,0.011416220625698763,0.017131484782330807,0.011295049133629165,9.711589041967019e-05,0.96875,0.9979121767241379,0.001029374712621281,32,0,0.007
