candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
baseline_ntb010,baseline_b20_s4242,7,5,-0.0047051503807018944,-0.040341552372049894,0.0,False,True,
baseline_ntb010,baseline_b20_s4242,7,10,-0.005469995277091533,-0.041861943757210474,0.0,False,True,
baseline_ntb010,baseline_b20_s4242,7,15,-0.006310479486149201,-0.04338000247112002,0.0,False,True,
baseline_ntb010,baseline_b20_s4242,17,5,-0.0047051503807018944,-0.03864660510026703,0.0,False,True,
baseline_ntb010,baseline_b20_s4242,17,10,-0.005469995277091533,-0.04020241221394955,0.0,False,True,
baseline_ntb010,baseline_b20_s4242,17,15,-0.006310479486149201,-0.041755797388710256,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,7,5,-0.0047051503807018944,-0.036198527921368163,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,7,10,-0.005469995277091533,-0.03771509563707838,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,7,15,-0.006310479486149201,-0.03949669949448588,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,17,5,-0.0047051503807018944,-0.030382855858937526,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,17,10,-0.005469995277091533,-0.03189748042220677,0.0,False,True,
baseline_ntb010,altblock_b16_s4242,17,15,-0.006310479486149201,-0.03340986410968856,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,7,5,-0.0047051503807018944,-0.03882369253238459,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,7,10,-0.005469995277091533,-0.04038149543550762,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,7,15,-0.006310479486149201,-0.04193687041903628,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,17,5,-0.0047051503807018944,-0.037210228867799476,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,17,10,-0.005469995277091533,-0.03893263712804039,0.0,False,True,
baseline_ntb010,altseed_b20_s5252,17,15,-0.006310479486149201,-0.04065206781032375,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,7,5,-0.0047051503807018944,-0.03138039250607187,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,7,10,-0.005469995277091533,-0.03325632441021129,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,7,15,-0.006310479486149201,-0.03512877615950754,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,17,5,-0.0047051503807018944,-0.0363591081428022,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,17,10,-0.005469995277091533,-0.03788611539473396,0.0,False,True,
baseline_ntb010,deepcheck_b12_s8080,17,15,-0.006310479486149201,-0.03941082807485203,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,7,5,-0.004573740569913576,-0.04083758259225999,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,7,10,-0.005453668333547301,-0.042370467151195496,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,7,15,-0.00650716610448252,-0.04390097484955439,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,5,-0.004573740569913576,-0.03904035421193397,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,10,-0.005453668333547301,-0.04061955375410188,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,15,-0.00650716610448252,-0.042196251638642546,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,5,-0.004573740569913576,-0.03668927748402203,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,10,-0.005453668333547301,-0.038228170889945276,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,15,-0.00650716610448252,-0.039764694648940245,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,5,-0.004573740569913576,-0.03050932643228548,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,10,-0.005453668333547301,-0.03227136847497614,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,15,-0.00650716610448252,-0.03411838985275079,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,5,-0.004573740569913576,-0.03961546208861107,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,10,-0.005453668333547301,-0.04124900729438416,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,15,-0.00650716610448252,-0.04287987172160744,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,5,-0.004573740569913576,-0.037962543464196266,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,10,-0.005453668333547301,-0.03977566662775379,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,15,-0.00650716610448252,-0.04158547719037263,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,5,-0.004573740569913576,-0.03166344303074592,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,10,-0.005453668333547301,-0.033628807789260876,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,15,-0.00650716610448252,-0.03559033463211271,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,5,-0.004573740569913576,-0.036616900371201196,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,10,-0.005453668333547301,-0.038187348071799534,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,15,-0.00650716610448252,-0.03975536019004915,0.0,False,True,
