candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
baseline,baseline_b20_s4242,7,5,0.0012859071067946371,-0.00893908939727397,0.0,True,True,
baseline,baseline_b20_s4242,7,10,0.000765548022362772,-0.008798276135444465,0.0,True,True,
baseline,baseline_b20_s4242,7,15,0.0005574815132475264,-0.009335516306654945,0.0,True,True,
baseline,baseline_b20_s4242,17,5,0.0012859071067946371,-0.0084421130743905,0.0,True,True,
baseline,baseline_b20_s4242,17,10,0.000765548022362772,-0.009117966586639364,0.0,True,True,
baseline,baseline_b20_s4242,17,15,0.0005574815132475264,-0.009419516862105164,0.0,True,True,
baseline,altblock_b16_s4242,7,5,0.0012859071067946371,-0.010088829230361574,0.0,True,True,
baseline,altblock_b16_s4242,7,10,0.000765548022362772,-0.010195632538626131,0.0,True,True,
baseline,altblock_b16_s4242,7,15,0.0005574815132475264,-0.010760945937108279,0.0,True,True,
baseline,altblock_b16_s4242,17,5,0.0012859071067946371,-0.008593798710516276,0.0,True,True,
baseline,altblock_b16_s4242,17,10,0.000765548022362772,-0.00924734348578513,0.0,True,True,
baseline,altblock_b16_s4242,17,15,0.0005574815132475264,-0.009803700048402164,0.0,True,True,
baseline,altseed_b20_s5252,7,5,0.0012859071067946371,-0.009388918891248117,0.0,True,True,
baseline,altseed_b20_s5252,7,10,0.000765548022362772,-0.00937249169052195,0.0,True,True,
baseline,altseed_b20_s5252,7,15,0.0005574815132475264,-0.009997873841244625,0.0,True,True,
baseline,altseed_b20_s5252,17,5,0.0012859071067946371,-0.0070552101214019615,0.0,True,True,
baseline,altseed_b20_s5252,17,10,0.000765548022362772,-0.007840938177978984,0.0,True,True,
baseline,altseed_b20_s5252,17,15,0.0005574815132475264,-0.008355067104173247,0.0,True,True,
baseline,deepcheck_b12_s8080,7,5,0.0012859071067946371,-0.007217139862953498,0.0,True,True,
baseline,deepcheck_b12_s8080,7,10,0.000765548022362772,-0.008291759586174407,0.0,True,True,
baseline,deepcheck_b12_s8080,7,15,0.0005574815132475264,-0.008771562429222822,0.0,True,True,
baseline,deepcheck_b12_s8080,17,5,0.0012859071067946371,-0.008758043131619509,0.0,True,True,
baseline,deepcheck_b12_s8080,17,10,0.000765548022362772,-0.009234912656429218,0.0,True,True,
baseline,deepcheck_b12_s8080,17,15,0.0005574815132475264,-0.009826582231147024,0.0,True,True,
objw05,baseline_b20_s4242,7,5,-0.00037109609838938964,-0.00627111529769187,0.0,True,False,
objw05,baseline_b20_s4242,7,10,-0.00042070274142145256,-0.006488323990930883,0.0,True,False,
objw05,baseline_b20_s4242,7,15,-0.0004703035203104555,-0.006740263166705901,0.0,True,False,
objw05,baseline_b20_s4242,17,5,-0.00037109609838938964,-0.006489298472599986,0.0,True,False,
objw05,baseline_b20_s4242,17,10,-0.0005452374462792342,-0.006744411537840089,0.0,True,False,
objw05,baseline_b20_s4242,17,15,-0.0005786446847513727,-0.0069987229719116915,0.0,True,False,
objw05,altblock_b16_s4242,7,5,-0.00037109609838938964,-0.0071935146020638665,0.0,True,True,
objw05,altblock_b16_s4242,7,10,-0.00042070274142145256,-0.007450433840672299,0.0,True,True,
objw05,altblock_b16_s4242,7,15,-0.0005786446847513727,-0.007707292255193105,0.0,True,True,
objw05,altblock_b16_s4242,17,5,-0.00037109609838938964,-0.007126357370476094,0.0,True,True,
objw05,altblock_b16_s4242,17,10,-0.0005452374462792342,-0.007433022735098005,0.0,True,True,
objw05,altblock_b16_s4242,17,15,-0.0005786446847513727,-0.007738586929937158,0.0,True,True,
objw05,altseed_b20_s5252,7,5,-0.0005118253257147875,-0.005640740686424684,0.0,True,False,
objw05,altseed_b20_s5252,7,10,-0.0005452374462792342,-0.005873968767045113,0.0,True,False,
objw05,altseed_b20_s5252,7,15,-0.0005786446847513727,-0.0061196725583360315,0.0,True,False,
objw05,altseed_b20_s5252,17,5,-0.00037109609838938964,-0.00701624100374128,0.0,True,True,
objw05,altseed_b20_s5252,17,10,-0.00042070274142145256,-0.007257815883179019,0.0,True,True,
objw05,altseed_b20_s5252,17,15,-0.0004703035203104555,-0.007501623740113317,0.0,True,True,
objw05,deepcheck_b12_s8080,7,5,-0.00037109609838938964,-0.0072584174003531565,0.0,True,True,
objw05,deepcheck_b12_s8080,7,10,-0.00042070274142145256,-0.007572093864596274,0.0,True,True,
objw05,deepcheck_b12_s8080,7,15,-0.0004703035203104555,-0.007847347193877386,0.0,True,True,
objw05,deepcheck_b12_s8080,17,5,-0.0005118253257147875,-0.006634517831267855,0.0,True,False,
objw05,deepcheck_b12_s8080,17,10,-0.0005452374462792342,-0.006920017292267938,0.0,True,False,
objw05,deepcheck_b12_s8080,17,15,-0.0005786446847513727,-0.007082893080789377,0.0,True,True,
objw10,baseline_b20_s4242,7,5,-0.00037109609838938964,-0.00627111529769187,0.0,True,False,
objw10,baseline_b20_s4242,7,10,-0.00042070274142145256,-0.006488323990930883,0.0,True,False,
objw10,baseline_b20_s4242,7,15,-0.0004703035203104555,-0.006740263166705901,0.0,True,False,
objw10,baseline_b20_s4242,17,5,-0.0005118253257147875,-0.006489298472599986,0.0,True,False,
objw10,baseline_b20_s4242,17,10,-0.0005452374462792342,-0.006744411537840089,0.0,True,False,
objw10,baseline_b20_s4242,17,15,-0.0005786446847513727,-0.0069987229719116915,0.0,True,False,
objw10,altblock_b16_s4242,7,5,-0.00037109609838938964,-0.0071935146020638665,0.0,True,True,
objw10,altblock_b16_s4242,7,10,-0.0005452374462792342,-0.007450433840672299,0.0,True,True,
objw10,altblock_b16_s4242,7,15,-0.0005786446847513727,-0.007707292255193105,0.0,True,True,
objw10,altblock_b16_s4242,17,5,-0.00037109609838938964,-0.007126357370476094,0.0,True,True,
objw10,altblock_b16_s4242,17,10,-0.0005452374462792342,-0.007433022735098005,0.0,True,True,
objw10,altblock_b16_s4242,17,15,-0.0005786446847513727,-0.007738586929937158,0.0,True,True,
objw10,altseed_b20_s5252,7,5,-0.0005118253257147875,-0.005640740686424684,0.0,True,False,
objw10,altseed_b20_s5252,7,10,-0.0005452374462792342,-0.005873968767045113,0.0,True,False,
objw10,altseed_b20_s5252,7,15,-0.0005786446847513727,-0.0061196725583360315,0.0,True,False,
objw10,altseed_b20_s5252,17,5,-0.00033542131723043325,-0.00701624100374128,0.0,True,True,
objw10,altseed_b20_s5252,17,10,-0.00042070274142145256,-0.007257815883179019,0.0,True,True,
objw10,altseed_b20_s5252,17,15,-0.0004703035203104555,-0.007501623740113317,0.0,True,True,
objw10,deepcheck_b12_s8080,7,5,-0.00033542131723043325,-0.0072584174003531565,0.0,True,True,
objw10,deepcheck_b12_s8080,7,10,-0.00042070274142145256,-0.007572093864596274,0.0,True,True,
objw10,deepcheck_b12_s8080,7,15,-0.0004703035203104555,-0.007847347193877386,0.0,True,True,
objw10,deepcheck_b12_s8080,17,5,-0.0005118253257147875,-0.006634517831267855,0.0,True,False,
objw10,deepcheck_b12_s8080,17,10,-0.0005452374462792342,-0.006920017292267938,0.0,True,False,
objw10,deepcheck_b12_s8080,17,15,-0.0005786446847513727,-0.007082893080789377,0.0,True,True,
