candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
baseline,baseline_b20_s4242,7,5,0.0012859071067946371,-0.00893908939727397,0.0,True,True,
baseline,baseline_b20_s4242,7,10,0.000765548022362772,-0.008798276135444465,0.0,True,True,
baseline,baseline_b20_s4242,7,15,0.0005574815132475264,-0.009335516306654945,0.0,True,True,
baseline,baseline_b20_s4242,17,5,0.0012859071067946371,-0.0084421130743905,0.0,True,True,
baseline,baseline_b20_s4242,17,10,0.000765548022362772,-0.009117966586639364,0.0,True,True,
baseline,baseline_b20_s4242,17,15,0.0005574815132475264,-0.009419516862105164,0.0,True,True,
baseline,altblock_b16_s4242,7,5,0.0012859071067946371,-0.010088829230361574,0.0,True,True,
baseline,altblock_b16_s4242,7,10,0.000765548022362772,-0.010195632538626131,0.0,True,True,
baseline,altblock_b16_s4242,7,15,0.0005574815132475264,-0.010760945937108279,0.0,True,True,
baseline,altblock_b16_s4242,17,5,0.0012859071067946371,-0.008593798710516276,0.0,True,True,
baseline,altblock_b16_s4242,17,10,0.000765548022362772,-0.00924734348578513,0.0,True,True,
baseline,altblock_b16_s4242,17,15,0.0005574815132475264,-0.009803700048402164,0.0,True,True,
baseline,altseed_b20_s5252,7,5,0.0012859071067946371,-0.009388918891248117,0.0,True,True,
baseline,altseed_b20_s5252,7,10,0.000765548022362772,-0.00937249169052195,0.0,True,True,
baseline,altseed_b20_s5252,7,15,0.0005574815132475264,-0.009997873841244625,0.0,True,True,
baseline,altseed_b20_s5252,17,5,0.0012859071067946371,-0.0070552101214019615,0.0,True,True,
baseline,altseed_b20_s5252,17,10,0.000765548022362772,-0.007840938177978984,0.0,True,True,
baseline,altseed_b20_s5252,17,15,0.0005574815132475264,-0.008355067104173247,0.0,True,True,
baseline,deepcheck_b12_s8080,7,5,0.0012859071067946371,-0.007217139862953498,0.0,True,True,
baseline,deepcheck_b12_s8080,7,10,0.000765548022362772,-0.008291759586174407,0.0,True,True,
baseline,deepcheck_b12_s8080,7,15,0.0005574815132475264,-0.008771562429222822,0.0,True,True,
baseline,deepcheck_b12_s8080,17,5,0.0012859071067946371,-0.008758043131619509,0.0,True,True,
baseline,deepcheck_b12_s8080,17,10,0.000765548022362772,-0.009234912656429218,0.0,True,True,
baseline,deepcheck_b12_s8080,17,15,0.0005574815132475264,-0.009826582231147024,0.0,True,True,
