candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
objw05_ntb010,baseline_b20_s4242,7,5,-0.00018536296501487915,-0.0031398913816921502,0.0,True,False,
objw05_ntb010,baseline_b20_s4242,7,10,-0.00021018376140924389,-0.003248826396215837,0.0,True,False,
objw05_ntb010,baseline_b20_s4242,7,15,-0.00023500309047681523,-0.0033751116394533432,0.0,True,False,
objw05_ntb010,baseline_b20_s4242,17,5,-0.00018536296501487915,-0.0032490781947168536,0.0,True,False,
objw05_ntb010,baseline_b20_s4242,17,10,-0.00027247277318185323,-0.003377039395590958,0.0,True,False,
objw05_ntb010,baseline_b20_s4242,17,15,-0.00028919771378290717,-0.0035045616302930237,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,7,5,-0.00018536296501487915,-0.0036014720080190243,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,7,10,-0.00021018376140924389,-0.003729756697033787,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,7,15,-0.00028919771378290717,-0.003858655249542048,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,17,5,-0.00018536296501487915,-0.0035689165687944556,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,17,10,-0.00027247277318185323,-0.0037226543404490333,0.0,True,False,
objw05_ntb010,altblock_b16_s4242,17,15,-0.00028919771378290717,-0.00387599683718321,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,7,5,-0.00025574661069127647,-0.00282383777346244,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,7,10,-0.00027247277318185323,-0.0029407708700464664,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,7,15,-0.00028919771378290717,-0.0030635683204126517,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,17,5,-0.00018536296501487915,-0.0035132448847685735,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,17,10,-0.00021018376140924389,-0.003634715275587957,0.0,True,False,
objw05_ntb010,altseed_b20_s5252,17,15,-0.00023500309047681523,-0.0037570467402287307,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,7,5,-0.00018536296501487915,-0.003634914713556525,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,7,10,-0.00021018376140924389,-0.003792310770253604,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,7,15,-0.00023500309047681523,-0.003929961068053278,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,17,5,-0.00025574661069127647,-0.003321896894404053,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,17,10,-0.00027247277318185323,-0.00346271930128893,0.0,True,False,
objw05_ntb010,deepcheck_b12_s8080,17,15,-0.00028919771378290717,-0.0035444094940633,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,7,5,-0.00013111732452386615,-0.0014124500986572974,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,7,10,-0.00013636609064739957,-0.0014499214150543837,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,7,15,-0.00014161474664144968,-0.001487391511330416,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,17,5,-0.00013111732452386615,-0.0013779196693104734,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,17,10,-0.00013636609064739957,-0.0013986886327274684,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,17,15,-0.00014161474664144968,-0.0014307643035543494,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,7,5,-0.00013111732452386615,-0.0017383219121149761,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,7,10,-0.00013636609064739957,-0.001776656783676117,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,7,15,-0.00014161474664144968,-0.00181436704445474,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,17,5,-0.00013111732452386615,-0.001608479059752982,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,17,10,-0.00013636609064739957,-0.0016508656328638183,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,17,15,-0.00014161474664144968,-0.0016932506294771831,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,7,5,-0.00013111732452386615,-0.001403617998687956,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,7,10,-0.00013636609064739957,-0.0014362216310954245,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,7,15,-0.00014161474664144968,-0.0014688243702381865,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,17,5,-0.00013111732452386615,-0.0015406476670950687,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,17,10,-0.00013636609064739957,-0.0015874640544583207,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,17,15,-0.00014161474664144968,-0.0016342784897992568,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,7,5,-0.00013111732452386615,-0.0016616995876509,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,7,10,-0.00013636609064739957,-0.0016977394399962486,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,7,15,-0.00014161474664144968,-0.001733778174384215,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,17,5,-0.00013111732452386615,-0.0014149738770465824,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,17,10,-0.00013636609064739957,-0.0014708935516727028,0.0,True,False,
objw05_ntb005,deepcheck_b12_s8080,17,15,-0.00014161474664144968,-0.0015029719842548806,0.0,True,False,
