candidate,scenario,breach,error,floor_target,floor_penalty,mean_test_relative,robust_min_p05,validation_value,active_fraction
ntb005_t0.00015_p3.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00015,3.0,,,,
ntb005_t0.00015_p3.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00015,3.0,,,,
ntb005_t0.00015_p3.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00015,3.0,,,,
ntb005_t0.00015_p3.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00015,3.0,,,,
ntb005_t0.00015_p4.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00015,4.0,,,,
ntb005_t0.00015_p4.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00015,4.0,,,,
ntb005_t0.00015_p4.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00015,4.0,,,,
ntb005_t0.00015_p4.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00015,4.0,,,,
ntb005_t0.00015_p5.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00015,5.0,,,,
ntb005_t0.00015_p5.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00015,5.0,,,,
ntb005_t0.00015_p5.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00015,5.0,,,,
ntb005_t0.00015_p5.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00015,5.0,,,,
ntb005_t0.00020_p3.0,baseline_b20_s4242,True,missing_detail_exit_2,0.0002,3.0,,,,
ntb005_t0.00020_p3.0,altblock_b16_s4242,True,missing_detail_exit_2,0.0002,3.0,,,,
ntb005_t0.00020_p3.0,altseed_b20_s5252,True,missing_detail_exit_2,0.0002,3.0,,,,
ntb005_t0.00020_p3.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.0002,3.0,,,,
ntb005_t0.00020_p4.0,baseline_b20_s4242,True,missing_detail_exit_2,0.0002,4.0,,,,
ntb005_t0.00020_p4.0,altblock_b16_s4242,True,missing_detail_exit_2,0.0002,4.0,,,,
ntb005_t0.00020_p4.0,altseed_b20_s5252,True,missing_detail_exit_2,0.0002,4.0,,,,
ntb005_t0.00020_p4.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.0002,4.0,,,,
ntb005_t0.00020_p5.0,baseline_b20_s4242,True,missing_detail_exit_2,0.0002,5.0,,,,
ntb005_t0.00020_p5.0,altblock_b16_s4242,True,missing_detail_exit_2,0.0002,5.0,,,,
ntb005_t0.00020_p5.0,altseed_b20_s5252,True,missing_detail_exit_2,0.0002,5.0,,,,
ntb005_t0.00020_p5.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.0002,5.0,,,,
ntb005_t0.00025_p3.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00025,3.0,,,,
ntb005_t0.00025_p3.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00025,3.0,,,,
ntb005_t0.00025_p3.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00025,3.0,,,,
ntb005_t0.00025_p3.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00025,3.0,,,,
ntb005_t0.00025_p4.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00025,4.0,,,,
ntb005_t0.00025_p4.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00025,4.0,,,,
ntb005_t0.00025_p4.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00025,4.0,,,,
ntb005_t0.00025_p4.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00025,4.0,,,,
ntb005_t0.00025_p5.0,baseline_b20_s4242,True,missing_detail_exit_2,0.00025,5.0,,,,
ntb005_t0.00025_p5.0,altblock_b16_s4242,True,missing_detail_exit_2,0.00025,5.0,,,,
ntb005_t0.00025_p5.0,altseed_b20_s5252,True,missing_detail_exit_2,0.00025,5.0,,,,
ntb005_t0.00025_p5.0,deepcheck_b12_s8080,True,missing_detail_exit_2,0.00025,5.0,,,,
