config,floor_target,floor_penalty,scenario,breach,gate_passed,mean_test_relative,robust_min_p05,error
incumbent_t0.00020_p4.0,0.0002,4.0,baseline_b20_s4242,False,True,6.577496373458836e-05,-0.002013815156184673,
incumbent_t0.00020_p4.0,0.0002,4.0,altblock_b16_s4242,False,True,6.577496373458836e-05,-0.0037413300431199726,
incumbent_t0.00020_p4.0,0.0002,4.0,altseed_b20_s5252,False,True,6.577496373458836e-05,-0.002586987205969704,
incumbent_t0.00020_p4.0,0.0002,4.0,deepcheck_b12_s8080,False,True,6.577496373458836e-05,-0.0019494416655110424,
probe_t0.00015_p3.0,0.00015,3.0,baseline_b20_s4242,False,True,6.577496373458836e-05,-0.002013815156184673,
probe_t0.00015_p3.0,0.00015,3.0,altblock_b16_s4242,False,True,6.577496373458836e-05,-0.0037413300431199726,
probe_t0.00015_p3.0,0.00015,3.0,altseed_b20_s5252,False,True,6.577496373458836e-05,-0.002586987205969704,
probe_t0.00015_p3.0,0.00015,3.0,deepcheck_b12_s8080,False,True,6.577496373458836e-05,-0.0019494416655110424,
probe_t0.00020_p3.0,0.0002,3.0,baseline_b20_s4242,False,True,6.577496373458836e-05,-0.002013815156184673,
probe_t0.00020_p3.0,0.0002,3.0,altblock_b16_s4242,False,True,6.577496373458836e-05,-0.0037413300431199726,
probe_t0.00020_p3.0,0.0002,3.0,altseed_b20_s5252,False,True,6.577496373458836e-05,-0.002586987205969704,
probe_t0.00020_p3.0,0.0002,3.0,deepcheck_b12_s8080,False,True,6.577496373458836e-05,-0.0019494416655110424,
probe_t0.00025_p3.0,0.00025,3.0,baseline_b20_s4242,False,True,6.577496373458836e-05,-0.002013815156184673,
probe_t0.00025_p3.0,0.00025,3.0,altblock_b16_s4242,False,True,6.577496373458836e-05,-0.0037413300431199726,
probe_t0.00025_p3.0,0.00025,3.0,altseed_b20_s5252,False,True,6.577496373458836e-05,-0.002586987205969704,
probe_t0.00025_p3.0,0.00025,3.0,deepcheck_b12_s8080,False,True,6.577496373458836e-05,-0.0019494416655110424,
