run,label,candidate,scenario,seed,cost,reason,gate_passed,robust_min_p05,failing_gate_keys
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,15,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,5,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,10,robust_min_nan,True,,
setA_2020_2026,canary_2026_opt_fixed_setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,15,robust_min_nan,True,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,7,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,7,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,7,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,17,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,17,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,baseline_b20_s4242,17,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,7,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,7,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,7,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,17,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,17,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altblock_b16_s4242,17,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,7,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,7,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,7,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,17,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,17,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,altseed_b20_s5252,17,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,7,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,7,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,7,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,17,5,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,17,10,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,baseline_ntb005,deepcheck_b12_s8080,17,15,robust_min_nan,False,,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,baseline_b20_s4242,7,5,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,baseline_b20_s4242,7,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,baseline_b20_s4242,7,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,7,5,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,7,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,7,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,17,5,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,17,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altblock_b16_s4242,17,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altseed_b20_s5252,7,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altseed_b20_s5252,7,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altseed_b20_s5252,17,5,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altseed_b20_s5252,17,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,altseed_b20_s5252,17,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,deepcheck_b12_s8080,7,5,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,deepcheck_b12_s8080,7,10,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,deepcheck_b12_s8080,7,15,gate_fail_other,False,0.0,
setA_2015_2019,canary_2026_opt_fixed_setA_2015_2019,objw05_ntb005,deepcheck_b12_s8080,17,5,gate_fail_other,False,0.0,
