candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
baseline_ntb005,baseline_b20_s4242,7,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,7,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,7,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,baseline_b20_s4242,17,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,7,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,altblock_b16_s4242,17,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,7,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,altseed_b20_s5252,17,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,7,15,-0.00650716610448252,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,5,-0.004573740569913576,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,10,-0.005453668333547301,,0.0,False,True,
baseline_ntb005,deepcheck_b12_s8080,17,15,-0.00650716610448252,,0.0,False,True,
objw05_ntb005,baseline_b20_s4242,7,5,0.0,0.0,0.0,False,True,
objw05_ntb005,baseline_b20_s4242,7,10,0.0,0.0,0.0,False,True,
objw05_ntb005,baseline_b20_s4242,7,15,0.0,0.0,0.0,False,True,
objw05_ntb005,baseline_b20_s4242,17,5,-0.00011793790922414172,-0.0017285458273511467,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,17,10,-0.00012611181586288378,-0.0017589535430276027,0.0,True,False,
objw05_ntb005,baseline_b20_s4242,17,15,-0.00013428544307076963,-0.0017893604353717008,0.0,True,False,
objw05_ntb005,altblock_b16_s4242,7,5,0.0,0.0,0.0,False,True,
objw05_ntb005,altblock_b16_s4242,7,10,0.0,0.0,0.0,False,True,
objw05_ntb005,altblock_b16_s4242,7,15,0.0,0.0,0.0,False,True,
objw05_ntb005,altblock_b16_s4242,17,5,0.0,0.0,0.0,False,True,
objw05_ntb005,altblock_b16_s4242,17,10,0.0,0.0,0.0,False,True,
objw05_ntb005,altblock_b16_s4242,17,15,0.0,0.0,0.0,False,True,
objw05_ntb005,altseed_b20_s5252,7,5,-0.00011793790922414172,-0.0018440812908210923,0.0,True,False,
objw05_ntb005,altseed_b20_s5252,7,10,0.0,0.0,0.0,False,True,
objw05_ntb005,altseed_b20_s5252,7,15,0.0,0.0,0.0,False,True,
objw05_ntb005,altseed_b20_s5252,17,5,0.0,0.0,0.0,False,True,
objw05_ntb005,altseed_b20_s5252,17,10,0.0,0.0,0.0,False,True,
objw05_ntb005,altseed_b20_s5252,17,15,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,7,5,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,7,10,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,7,15,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,17,5,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,17,10,0.0,0.0,0.0,False,True,
objw05_ntb005,deepcheck_b12_s8080,17,15,0.0,0.0,0.0,False,True,
objw05_ntb005_floor,baseline_b20_s4242,7,5,-0.0002418378954150091,-0.00221627168994219,0.0,True,False,
objw05_ntb005_floor,baseline_b20_s4242,7,10,-0.00025840795364242555,-0.00225366321549732,0.0,True,False,
objw05_ntb005_floor,baseline_b20_s4242,7,15,-0.00027497760020469555,-0.0022910536618107103,0.0,True,False,
objw05_ntb005_floor,baseline_b20_s4242,17,5,-0.0002418378954150091,-0.002228732261683475,0.0,True,False,
objw05_ntb005_floor,baseline_b20_s4242,17,10,-0.00025840795364242555,-0.0022451823917257695,0.0,True,False,
objw05_ntb005_floor,baseline_b20_s4242,17,15,-0.00027497760020469555,-0.002261632333148339,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,7,5,-0.0002418378954150091,-0.0020096325877833,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,7,10,-0.00025840795364242555,-0.0020457377384052846,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,7,15,-9.664643915372473e-05,-0.001753768226917951,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,17,5,-0.0002418378954150091,-0.001879525374232366,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,17,10,-0.00025840795364242555,-0.0019030487534649366,0.0,True,False,
objw05_ntb005_floor,altblock_b16_s4242,17,15,-0.00027497760020469555,-0.0019265716882844563,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,7,5,-0.0002418378954150091,-0.002394851706895851,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,7,10,-0.00025840795364242555,-0.0024473350370129653,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,7,15,-9.664643915372473e-05,-0.0019487394454570039,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,17,5,-0.0002418378954150091,-0.0021792316861248494,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,17,10,-0.00025840795364242555,-0.002200889545832868,0.0,True,False,
objw05_ntb005_floor,altseed_b20_s5252,17,15,-9.664643915372473e-05,-0.0019831803600232124,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,7,5,-0.0002418378954150091,-0.0021871611566080863,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,7,10,-0.00025840795364242555,-0.0022196209442271186,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,7,15,-9.664643915372473e-05,-0.001708964412005637,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,17,5,-0.0002418378954150091,-0.0022474225690649386,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,17,10,-0.00025840795364242555,-0.002278213882387703,0.0,True,False,
objw05_ntb005_floor,deepcheck_b12_s8080,17,15,-9.664643915372473e-05,-0.001796635244769168,0.0,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,7,5,-0.00030305396337428905,-0.00221627168994219,0.0,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,7,10,-0.00034143806305595434,-0.00225366321549732,0.0,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,7,15,-0.0003437220002558694,-0.0023361628110282638,0.2,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,17,5,-0.00030305396337428905,-0.002228732261683475,0.0,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,17,10,-0.00034143806305595434,-0.0022451823917257695,0.0,True,False,
objw05_ntb005_floor_hardmin,baseline_b20_s4242,17,15,-0.0003437220002558694,-0.0019778580398190524,0.2,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,7,5,-0.00030305396337428905,-0.0020096325877833,0.0,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,7,10,-0.00034143806305595434,-0.0020457377384052846,0.0,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,7,15,-0.0003437220002558694,-0.002110075139041728,0.2,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,17,5,-0.00030305396337428905,-0.001879525374232366,0.0,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,17,10,-0.00034143806305595434,-0.0019030487534649366,0.0,True,False,
objw05_ntb005_floor_hardmin,altblock_b16_s4242,17,15,-0.0003437220002558694,-0.0020358729021957623,0.2,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,7,5,-0.00030305396337428905,-0.002394851706895851,0.0,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,7,10,-0.00034143806305595434,-0.0024473350370129653,0.0,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,7,15,-0.0003437220002558694,-0.002466875615110581,0.2,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,17,5,-0.00030305396337428905,-0.0021792316861248494,0.0,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,17,10,-0.00034143806305595434,-0.002200889545832868,0.0,True,False,
objw05_ntb005_floor_hardmin,altseed_b20_s5252,17,15,-0.0003437220002558694,-0.0019472999800841605,0.2,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,7,5,-0.00030305396337428905,-0.0021871611566080863,0.0,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,7,10,-0.00034143806305595434,-0.0022196209442271186,0.0,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,7,15,-0.0003437220002558694,-0.002307317261796865,0.2,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,17,5,-0.00030305396337428905,-0.0022474225690649386,0.0,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,17,10,-0.00034143806305595434,-0.002278213882387703,0.0,True,False,
objw05_ntb005_floor_hardmin,deepcheck_b12_s8080,17,15,-0.0003437220002558694,-0.002649129707753289,0.2,True,False,
