candidate,scenario,seed,cost,mean_test_relative,robust_min_p05,dead_fold_fraction,gate_passed,breach,error
objw05_ntb010_floor,baseline_b20_s4242,7,5,-1.0953947299130462e-05,-0.0022600598421398223,0.0,True,False,
objw05_ntb010_floor,baseline_b20_s4242,7,10,-2.0811284754929103e-05,-0.002309163485091331,0.0,True,False,
objw05_ntb010_floor,baseline_b20_s4242,7,15,-3.0668382876108956e-05,-0.0023635185724725895,0.0,True,False,
objw05_ntb010_floor,baseline_b20_s4242,17,5,-0.00013613137712731316,-0.0043769142635581015,0.0,True,False,
objw05_ntb010_floor,baseline_b20_s4242,17,10,-8.555900322744225e-05,-0.0035152096033457367,0.0,True,False,
objw05_ntb010_floor,baseline_b20_s4242,17,15,-3.0668382876108956e-05,-0.0022287166902698772,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,7,5,-1.0953947299130462e-05,-0.0018081960947694375,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,7,10,-2.0811284754929103e-05,-0.0018405852626105445,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,7,15,-3.0668382876108956e-05,-0.0018729737314826522,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,17,5,-0.00013613137712731316,-0.003620560841229603,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,17,10,-2.0811284754929103e-05,-0.002071147626774683,0.0,True,False,
objw05_ntb010_floor,altblock_b16_s4242,17,15,-3.0668382876108956e-05,-0.0021088021095021668,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,7,5,-0.00013613137712731316,-0.004444703994008664,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,7,10,-2.0811284754929103e-05,-0.002233827037211239,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,7,15,-3.0668382876108956e-05,-0.0022630779838066217,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,17,5,-1.0953947299130462e-05,-0.0021350717202028692,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,17,10,-2.0811284754929103e-05,-0.002174572070677533,0.0,True,False,
objw05_ntb010_floor,altseed_b20_s5252,17,15,-3.0668382876108956e-05,-0.0022268597644816146,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,7,5,-1.0953947299130462e-05,-0.0019857355015392318,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,7,10,-2.0811284754929103e-05,-0.002049358042139432,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,7,15,-3.0668382876108956e-05,-0.0021129772025763214,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,17,5,-1.0953947299130462e-05,-0.0023130845900260267,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,17,10,-2.0811284754929103e-05,-0.0023338152277646517,0.0,True,False,
objw05_ntb010_floor,deepcheck_b12_s8080,17,15,-3.0668382876108956e-05,-0.002352182425728161,0.0,True,False,
objw05_ntb010_floor_hardmin,baseline_b20_s4242,7,5,-0.0005616542592948637,-0.0036415399139473393,0.0,True,False,
objw05_ntb010_floor_hardmin,baseline_b20_s4242,7,10,-0.0007014996208285273,-0.0037143156368149243,0.0,True,False,
objw05_ntb010_floor_hardmin,baseline_b20_s4242,7,15,-0.0006901557554284676,-0.0036610476058263563,0.2,True,False,
