candidate,cases_w2020_2026,breaches_w2020_2026,mean_test_relative_w2020_2026,min_robust_min_p05_w2020_2026,max_dead_fold_fraction_w2020_2026,cases_w2015_2019,breaches_w2015_2019,mean_test_relative_w2015_2019,min_robust_min_p05_w2015_2019,max_dead_fold_fraction_w2015_2019,delta_mean_w2020_2026,delta_mean_w2015_2019,delta_robust_w2020_2026,delta_robust_w2015_2019,strict_pass,relaxed_pass,score_sum_delta_mean,score_sum_delta_robust
objw05_ntb005_floor_t15_p3_tailr240,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00010738643429404362,-0.0020787701838638,0.0,0.0,1.0543455166472977e-05,0.0,0.00014996207781960017,False,True,1.0543455166472977e-05,0.00014996207781960017
objw05_ntb005_floor_t15_p3_tailr320,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00010912374554473367,-0.0020787701838638,0.0,0.0,8.80614391578292e-06,0.0,0.00014996207781960017,False,True,8.80614391578292e-06,0.00014996207781960017
objw05_ntb005_floor_t15_p3_tailr160,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00011086105679542373,-0.0020787701838638,0.0,0.0,7.068832665092862e-06,0.0,0.00014996207781960017,False,True,7.068832665092862e-06,0.00014996207781960017
objw05_ntb005_floor_t15_p3_tailr320_q07,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00011457485462146916,-0.0023948517068958,0.0,0.0,3.3550348390474295e-06,0.0,-0.0001661194452124001,False,False,3.3550348390474295e-06,-0.0001661194452124001
objw05_ntb005_floor_t15_p3,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.0001179298894605166,-0.0022287322616834,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0
objw05_ntb005_floor_t15_p3_tailr240_q07,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00012164368728656203,-0.0023948517068958,0.0,0.0,-3.7137978260454326e-06,0.0,-0.0001661194452124001,False,False,-3.7137978260454326e-06,-0.0001661194452124001
objw05_ntb005_floor_t15_p3_tailr160_q07,24,0,6.577593106470065e-05,-0.003837167581525,0.0,24,0,-0.00013392445370372506,-0.0023948517068958,0.0,0.0,-1.5994564243208468e-05,0.0,-0.0001661194452124001,False,False,-1.5994564243208468e-05,-0.0001661194452124001
objw05_ntb005_floor_t15_p3_tailr320_q03,24,0,3.4542842961324443e-05,-0.003645483879747,0.0,24,0,-0.00011086105679542373,-0.0020787701838638,0.0,-3.123308810337621e-05,7.068832665092862e-06,0.00019168370177800008,0.00014996207781960017,False,False,-2.4164255438283346e-05,0.00034164577959760025
objw05_ntb005_floor_t15_p3_tailr240_q03,24,0,2.693932823772526e-05,-0.003645483879747,0.0,24,0,-0.00011086105679542373,-0.0020787701838638,0.0,-3.8836602826975396e-05,7.068832665092862e-06,0.00019168370177800008,0.00014996207781960017,False,False,-3.1767770161882534e-05,0.00034164577959760025
objw05_ntb005_floor_t15_p3_tailr160_q03,24,0,1.9335813514126083e-05,-0.0037413300431199,0.0,24,0,-0.00011086105679542373,-0.0020787701838638,0.0,-4.644011755057457e-05,7.068832665092862e-06,9.583753840509968e-05,0.00014996207781960017,False,False,-3.937128488548171e-05,0.00024579961622469984
