candidate,cases_w2020_2026,breaches_w2020_2026,mean_test_relative_w2020_2026,min_robust_min_p05_w2020_2026,max_dead_fold_fraction_w2020_2026,cases_w2015_2019,breaches_w2015_2019,mean_test_relative_w2015_2019,min_robust_min_p05_w2015_2019,max_dead_fold_fraction_w2015_2019,delta_mean_w2020_2026,delta_robust_w2020_2026,delta_mean_w2015_2019,delta_robust_w2015_2019,strict_pass,relaxed_pass,score_sum_delta_mean,score_sum_delta_robust
objw05_ntb005_floor_t15_p3_tailr320_q06_b12,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00010738643429404362,-0.0021932311561117,0.0,3.205211731235579e-06,0.0,1.0620453092789514e-05,0.0006358824755901002,True,True,1.3825664824025093e-05,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q05_b20,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00010773389654418163,-0.0021932311561117,0.0,3.205211731235579e-06,0.0,1.0272990842651497e-05,0.0006358824755901002,True,True,1.3478202573887076e-05,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00010808135879431965,-0.0021932311561117,0.0,3.205211731235579e-06,0.0,9.92552859251348e-06,0.0006358824755901002,True,True,1.313074032374906e-05,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q05_b16,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00010912374554473367,-0.0021932311561117,0.0,3.205211731235579e-06,0.0,8.883141842099457e-06,0.0006358824755901002,True,True,1.2088353573335036e-05,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q05_b12,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00011051359454528572,-0.0021932311561117,0.0,3.205211731235579e-06,0.0,7.493292841547416e-06,0.0006358824755901002,True,True,1.0698504572782995e-05,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q04_b16,120,0,6.425522811998082e-05,-0.003837167581525,0.0,120,0,-0.00011086105679542372,-0.0021932311561117,0.0,1.6845087865157321e-06,0.0,7.1458305914094125e-06,0.0006358824755901002,True,True,8.830339377925145e-06,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q04_b20,120,0,6.273452517526099e-05,-0.003837167581525,0.0,120,0,-0.00010947120779487169,-0.0021932311561117,0.0,1.6380584179589877e-07,0.0,8.53567959196144e-06,0.0006358824755901002,True,True,8.699485433757338e-06,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q06_b16,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00011304150042611792,-0.0022852528650562,0.0,3.205211731235579e-06,0.0,4.965386960715211e-06,0.0005438607666456,True,True,8.17059869195079e-06,0.0005438607666456
objw05_ntb005_floor_t15_p3_tailr320_q04_b12,120,0,6.121382223054115e-05,-0.003837167581525,0.0,120,0,-0.00011124232344351813,-0.0021932311561117,0.0,-1.3568971029239346e-06,0.0,6.764563943314998e-06,0.0006358824755901002,False,False,5.407666840391063e-06,0.0006358824755901002
objw05_ntb005_floor_t15_p3_tailr320_q06_b20,120,0,6.577593106470067e-05,-0.003837167581525,0.0,120,0,-0.00011906794634079676,-0.0027013726951432,0.0,3.205211731235579e-06,0.0,-1.0610589539636274e-06,0.0001277409365586001,False,False,2.1441527772719516e-06,0.0001277409365586001
objw05_ntb005_floor_t15_p3,120,0,6.257071933346509e-05,-0.003837167581525,0.0,120,0,-0.00011800688738683313,-0.0028291136317018,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0
